Record Length,Analog:700,
Sample Interval,Analog:2.000000E-09,
Vertical Units,CH1:V, CH2:V,,
Vertical Scale,CH1:+2.000000E-01, CH2:+2.000000E-01,,
Vertical Offset,CH1:+0.000000E+00, CH2:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+1.000000E-01,
Model Number,SDS1204X-E,
Serial Number,SDSMMFCD6R2257,
Software Version,8.3.6.1.37R8,
Source,CH1,CH2
Second,Value,Value
-4.800000E-07,+2.560000E-01,+2.480000E-01
-4.780000E-07,+2.640000E-01,+2.480000E-01
-4.760000E-07,+2.560000E-01,+2.480000E-01
-4.740000E-07,+2.640000E-01,+2.480000E-01
-4.720000E-07,+2.640000E-01,+2.400000E-01
-4.700000E-07,+2.640000E-01,+2.480000E-01
-4.680000E-07,+2.640000E-01,+2.480000E-01
-4.660000E-07,+2.640000E-01,+2.480000E-01
-4.640000E-07,+2.640000E-01,+2.480000E-01
-4.620000E-07,+2.640000E-01,+2.480000E-01
-4.600000E-07,+2.560000E-01,+2.480000E-01
-4.580000E-07,+2.640000E-01,+2.480000E-01
-4.560000E-07,+2.640000E-01,+2.480000E-01
-4.540000E-07,+2.560000E-01,+2.400000E-01
-4.520000E-07,+2.560000E-01,+2.480000E-01
-4.500000E-07,+2.640000E-01,+2.480000E-01
-4.480000E-07,+2.640000E-01,+2.400000E-01
-4.460000E-07,+2.640000E-01,+2.320000E-01
-4.440000E-07,+2.720000E-01,+2.560000E-01
-4.420000E-07,+2.560000E-01,+2.480000E-01
-4.400000E-07,+2.560000E-01,+2.480000E-01
-4.380000E-07,+2.560000E-01,+2.480000E-01
-4.360000E-07,+2.560000E-01,+2.400000E-01
-4.340000E-07,+2.560000E-01,+2.480000E-01
-4.320000E-07,+2.640000E-01,+2.400000E-01
-4.300000E-07,+2.640000E-01,+2.400000E-01
-4.280000E-07,+2.640000E-01,+2.480000E-01
-4.260000E-07,+2.560000E-01,+2.480000E-01
-4.240000E-07,+2.560000E-01,+2.480000E-01
-4.220000E-07,+2.640000E-01,+2.400000E-01
-4.200000E-07,+2.560000E-01,+2.480000E-01
-4.180000E-07,+2.560000E-01,+2.480000E-01
-4.160000E-07,+2.640000E-01,+2.480000E-01
-4.140000E-07,+2.640000E-01,+2.480000E-01
-4.120000E-07,+2.640000E-01,+2.480000E-01
-4.100000E-07,+2.640000E-01,+2.480000E-01
-4.080000E-07,+2.560000E-01,+2.480000E-01
-4.060000E-07,+2.560000E-01,+2.400000E-01
-4.040000E-07,+2.560000E-01,+2.480000E-01
-4.020000E-07,+2.560000E-01,+2.480000E-01
-4.000000E-07,+2.560000E-01,+2.400000E-01
